word,label
"Hello,",O
you,O
have,O
called,O
virtual,O
bank.,O
This,O
is,O
Anna,PERSON
speaking.,O
How,O
may,O
I,O
help,O
you?,O
Good,O
morning.,O
Anna.,PERSON
I,O
would,O
like,O
to,O
ask,O
about,O
the,O
open,O
a,O
bank,O
account,O
sure,O
thing.,O
What,O
kind,O
of,O
account,O
would,O
you,O
like,O
to,O
open,O
a,O
savings,O
account,O
or,O
a,O
checking,O
account?,O
What's,O
the,O
difference,O
a,O
checking,O
account,O
is,O
designed,O
to,O
use,O
for,O
everyday,O
transactions.,O
Yes.,O
The,O
money,O
in,O
a,O
savings,O
account,O
is,O
meant,O
to,O
stay,O
in,O
the,O
account,O
intern,O
interest,O
overtime.,O
I,O
see,O
actually,O
I,O
want,O
to,O
apply,O
for,O
a,O
credit,O
card.,O
That's,O
why,O
I,O
need,O
an,O
account.,O
"Okay,",O
then,O
you,O
probably,O
want,O
a,O
checking,O
account.,O
"Well,",O
thank,O
you.,O
I'd,O
like,O
to,O
add,O
sure.,O
What's,O
your,O
name,O
now?,O
I'll,O
Angelina,PERSON
Jolie.,PERSON
How,O
much,O
of,O
a,O
credit,O
limit,O
where,O
you,O
looking,O
for,O
Miss,O
Julie?,PERSON
I,O
would,O
like,O
a,O
"$10,000 ",MONEY
spending,O
limit.,O
"Alright,",O
we,O
will,O
see,O
what,O
we,O
can,O
do.,O
We,O
might,O
be,O
able,O
to,O
get,O
you,O
one,O
of,O
our,O
gold,O
cards,O
with,O
a,O
"$10,000 ",MONEY
spending,O
limit,O
wonderful,O
wheel.,O
I,O
also,O
collect,O
points,O
when,O
I,O
use,O
the,O
card,O
share,O
with,O
our,O
gold,O
card.,O
You,O
will,O
get,O
10,O
reward,O
points,O
for,O
every,O
dollar,O
spent,O
perfect,O
and,O
how,O
much,O
deposit,O
minimum,O
into,O
the,O
account.,O
You,O
just,O
need,O
to,O
deposit,O
a,O
minimum,O
of,O
$250 ,MONEY
into,O
your,O
new,O
checking,O
account,O
very,O
well.,O
Thank,O
you,O
for,O
your,O
help.,O
Have,O
a,O
good,O
day.,O
Thank,O
"you,",O
ma'am.,O
You,O
too.,O
